               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088841,            0.032344,            0.064797,            0.062136,             0.22957,             0.05852,            0.022656,            0.072993,             0.02513,            0.055364,            0.070469,           0.0032813,           0.0032813
                   1,            0.063074,            0.024114,            0.051097,             0.19525,             0.26587,              0.1537,            0.068812,            0.064432,            0.018442,            0.042925,            0.040338,           0.0064836,           0.0064836
                   2,            0.057343,              0.0207,            0.041408,              0.7095,             0.24226,             0.25726,             0.12167,            0.052702,            0.017834,            0.034592,            0.010075,            0.009554,            0.009554
                   3,            0.049257,            0.019105,            0.035216,             0.50718,             0.43556,             0.41473,             0.23566,            0.042051,            0.016572,            0.030223,            0.009406,            0.009406,            0.009406
                   4,            0.044344,            0.018287,             0.03099,             0.53827,             0.51415,             0.50523,             0.29276,            0.040438,            0.015775,            0.027375,            0.009406,            0.009406,            0.009406
                   5,            0.041586,            0.017928,            0.027851,             0.54269,             0.59171,             0.57442,             0.35078,            0.037821,            0.016249,            0.023792,            0.009208,            0.009208,            0.009208
                   6,            0.039498,            0.017385,            0.024493,             0.67428,             0.57575,             0.63779,             0.42671,            0.034233,             0.01548,            0.021786,             0.00901,             0.00901,             0.00901
                   7,            0.038072,            0.017234,            0.022421,             0.73863,             0.62679,             0.68823,             0.46236,            0.033437,            0.014718,            0.018991,            0.008812,            0.008812,            0.008812
                   8,            0.036679,            0.016972,            0.020397,             0.72388,             0.65057,             0.70483,             0.47493,            0.032989,            0.014677,            0.019087,            0.008614,            0.008614,            0.008614
                   9,            0.035774,            0.016636,             0.01899,             0.68695,             0.70001,             0.70902,             0.47662,            0.032901,            0.014615,            0.019166,            0.008416,            0.008416,            0.008416
                  10,            0.035314,            0.016748,            0.018762,              0.7507,             0.70438,             0.75291,             0.53391,            0.030398,            0.014153,            0.016612,            0.008218,            0.008218,            0.008218
                  11,            0.033629,            0.016273,            0.017281,             0.78783,             0.70852,             0.75547,             0.52465,            0.031124,            0.014417,            0.015792,             0.00802,             0.00802,             0.00802
                  12,            0.034163,            0.016165,             0.01648,              0.7451,             0.72122,             0.75111,              0.5326,            0.029686,            0.013952,              0.0171,            0.007822,            0.007822,            0.007822
                  13,            0.033237,            0.015829,            0.016416,             0.79988,             0.75413,              0.7862,             0.56766,            0.029256,            0.013784,            0.014203,            0.007624,            0.007624,            0.007624
                  14,            0.032459,            0.016014,             0.01524,             0.78807,             0.76222,              0.7925,             0.57605,            0.027808,            0.013372,            0.013438,            0.007426,            0.007426,            0.007426
                  15,            0.032256,            0.015882,            0.014428,             0.78675,             0.74877,             0.79108,             0.58157,            0.028287,            0.013653,             0.01346,            0.007228,            0.007228,            0.007228
                  16,             0.03168,            0.015712,            0.014309,             0.83155,             0.75754,             0.80531,             0.60204,            0.027508,            0.013214,            0.012862,             0.00703,             0.00703,             0.00703
